x y
-0.7406250000000001 -1.3083988879768562
-0.7156250000000001 -1.308658234408494
-0.690625 -1.3089372310948146
-0.665625 -1.3092359980835881
-0.6468750000000001 -1.3094730816004014
-0.6218750000000001 -1.309806566032165
-0.596875 -1.3101599612302965
-0.571875 -1.3105332479677367
-0.546875 -1.3109263666232365
-0.521875 -1.3113392161580808
-0.496875 -1.3117716532900139
-0.47187500000000004 -1.312223491876044
-0.446875 -1.3126945025137975
-0.421875 -1.3131844123688878
-0.39687500000000003 -1.313692905233461
-0.371875 -1.3142196218187148
-0.34687500000000004 -1.3147641602818123
-0.321875 -1.315326076985237
-0.30312500000000003 -1.315758607865481
-0.278125 -1.3163496565963948
-0.253125 -1.3169566606145298
-0.22812500000000002 -1.317579031086895
-0.203125 -1.3182161439692381
-0.178125 -1.3188673419481527
-0.153125 -1.3195319365506328
-0.12812500000000002 -1.3202092104061076
-0.10312500000000001 -1.3208984196451785
-0.078125 -1.3215987964187816
-0.059375000000000004 -1.3221309088905722
-0.034375 -1.322848856253368
-0.009375000000000001 -1.3235757678978668
0.015625 -1.3243108106591448
0.040625 -1.3250531404012904
0.065625 -1.3258019049002747
0.09062500000000001 -1.3265562467375314
0.115625 -1.327315306189143
0.140625 -1.328078224096028
0.15937500000000002 -1.3286524154690957
0.184375 -1.3294200198774355
0.209375 -1.3301891581363536
0.234375 -1.3309589979021925
0.259375 -1.3317287202451584
0.284375 -1.332497522153763
0.309375 -1.3332646189350497
0.33437500000000003 -1.3340292464994172
0.353125 -1.33460065715281
0.37812500000000004 -1.3353592258135512
0.403125 -1.3361133571978074
0.42812500000000003 -1.3368623818627898
0.453125 -1.3376056598640904
0.478125 -1.3383425821911854
0.503125 -1.3390725720254955
0.5281250000000001 -1.3397950858145231
0.553125 -1.3405096141567123
0.571875 -1.3410400171430987
0.596875 -1.3417395122969635
0.6218750000000001 -1.3424298066790317
0.6468750000000001 -1.3431105226506677
0.671875 -1.3437813182746898
0.696875 -1.344441887090922
0.721875 -1.3450919577066938
0.7468750000000001 -1.3457312932100631
0.7718750000000001 -1.3463596904154307
0.7927164499726371 -1.346875
0.815625 -1.3474326304588813
0.8406250000000001 -1.3480302288578827
0.8656250000000001 -1.348616409634168
0.890625 -1.3491911145875266
0.915625 -1.3497543123709117
0.940625 -1.3503059969729523
0.9656250000000001 -1.3508461861509204
0.9906250000000001 -1.351374919831354
1.015625 -1.351892258494938
1.0406250000000001 -1.3523982815614055
1.065625 -1.3528930857891028
1.084375 -1.3532569073690506
1.109375 -1.3537324063374403
1.1343750000000001 -1.3541970267727927
1.159375 -1.3546509167250143
1.184375 -1.3550942345811425
1.209375 -1.355527147758041
1.234375 -1.3559498314698546
1.2593750000000001 -1.356362467573134
1.284375 -1.3567652434911783
1.3093750000000002 -1.3571583512178733
1.334375 -1.3575419864001934
1.359375 -1.3579163474975502
1.3843750000000001 -1.3582816350153586
1.409375 -1.3586380508094973
1.4343750000000002 -1.35898579745782
1.459375 -1.3593250776944694
1.4781250000000001 -1.3595741183809982
1.503125 -1.359899092087796
1.5281250000000002 -1.3602161519576663
1.553125 -1.3605254972934637
1.578125 -1.3608273255840426
1.6031250000000001 -1.3611218322092788
1.628125 -1.3614092101774264
1.6531250000000002 -1.3616896498909279
1.678125 -1.3619633389371153
1.703125 -1.3622304619006333
1.7281250000000001 -1.3624912001947695
1.753125 -1.3627457319092837
1.7781250000000002 -1.362994231672731
1.803125 -1.363236870527632
1.828125 -1.3634738158172393
1.8531250000000001 -1.363705231082982
1.878125 -1.363931275971997
1.9031250000000002 -1.3641521061544317
1.928125 -1.3643678732504723
1.953125 -1.3645787247672438
1.9781250000000001 -1.3647848040459063
2.0031250000000003 -1.3649862502193992
2.028125 -1.3651831981813602
2.053125 -1.3653757785667928
2.078125 -1.365564117745045
2.0968750000000003 -1.3657026652947593
2.121875 -1.3658838800002577
2.146875 -1.3660611786253436
2.171875 -1.3662346717404952
2.196875 -1.3664044657963739
2.2218750000000003 -1.3665706631942078
2.246875 -1.3667333623694466
2.271875 -1.3668926578880853
2.296875 -1.3670486405548425
2.321875 -1.3672013975321358
2.3468750000000003 -1.3673510124685577
2.371875 -1.3674975656353494
2.396875 -1.3676411340691597
2.421875 -1.3677817917191923
2.4468750000000004 -1.3679196095966972
2.4718750000000003 -1.3680546559246323
2.496875 -1.3681869962852338
2.521875 -1.3683166937632079
2.546875 -1.3684438090822075
2.5718750000000004 -1.3685684007323546
2.5968750000000003 -1.3686905250866026
2.621875 -1.3688102365038946
2.646875 -1.368927587417235
2.671875 -1.3690426284050161
2.6968750000000004 -1.3691554082441824
2.7218750000000003 -1.369265973944131
2.746875 -1.3693743707605488

-0.728125 -1.2106984716631626
-0.703125 -1.2109746491217745
-0.6781250000000001 -1.2112735668803807
-0.6531250000000001 -1.2115954053523683
-0.628125 -1.2119403003151068
-0.603125 -1.2123083405754307
-0.578125 -1.212699565834463
-0.553125 -1.213113964779029
-0.5281250000000001 -1.213551473424866
-0.503125 -1.2140119737343544
-0.478125 -1.2144952925285017
-0.453125 -1.21500120070959
-0.42812500000000003 -1.2155294128072336
-0.40937500000000004 -1.2159399372893316
-0.384375 -1.216506205473146
-0.359375 -1.2170937024277617
-0.33437500000000003 -1.2177019342361228
-0.309375 -1.218330353076248
-0.284375 -1.2189783586633112
-0.259375 -1.2196452999985248
-0.234375 -1.220330477409162
-0.209375 -1.221033144861523
-0.184375 -1.2217525125264956
-0.16562500000000002 -1.2223024319195366
-0.140625 -1.223048894379453
-0.115625 -1.223809693546151
