x y
-0.734375 -1.1579859252218119
-0.7093750000000001 -1.1580257158561034
-0.6843750000000001 -1.1580706981744755
-0.659375 -1.1581210215229407
-0.634375 -1.1581768101901067
-0.609375 -1.1582381809462505
-0.584375 -1.1583052266454232
-0.5593750000000001 -1.1583780226513514
-0.534375 -1.1584566270070005
-0.509375 -1.1585410692799476
-0.484375 -1.158631366485043
-0.45937500000000003 -1.158727502592226
-0.434375 -1.158829446491149
-0.40937500000000004 -1.1589371385977394
-0.384375 -1.1590504954222403
-0.359375 -1.1591694144332918
-0.33437500000000003 -1.1592937609336393
-0.31562500000000004 -1.1593904950972702
-0.290625 -1.1595239565033526
-0.265625 -1.159662377200067
-0.240625 -1.1598055398447387
-0.215625 -1.1599532145686906
-0.19062500000000002 -1.1601051499164292
-0.16562500000000002 -1.1602610741965598
-0.140625 -1.1604207075793338
-0.115625 -1.1605837440543383
-0.09062500000000001 -1.1607498773871816
-0.065625 -1.1609187787990993
-0.040625 -1.161090116639498
-0.015625 -1.1612635503796644
0.009375000000000001 -1.1614387274067912
0.034375 -1.1616153017130735
0.059375000000000004 -1.1617929097902175
0.084375 -1.1619712014566628
0.109375 -1.162149815471871
0.134375 -1.1623283980173347
0.15937500000000002 -1.162506600838109
0.184375 -1.1626840714366005
0.209375 -1.1628604787719727
0.234375 -1.1630354826164442
0.259375 -1.1632087680187997
0.284375 -1.1633800200785187
0.309375 -1.1635489390924882
0.33437500000000003 -1.1637152442670045
0.359375 -1.1638786560502692
0.384375 -1.1640389287517998
0.40937500000000004 -1.1641958140284627
0.434375 -1.1643490971571409
0.45937500000000003 -1.1644985727534836
0.484375 -1.164644054534658
0.509375 -1.1647853855466324
0.534375 -1.1649224121375907
0.5593750000000001 -1.1650550223822527
0.584375 -1.1651831050171513
0.609375 -1.1653065850738684
0.634375 -1.1654254021337878
0.659375 -1.1655395129276134
0.678821150819498 -1.1656250000000001
0.703125 -1.1657278559661046
0.728125 -1.1658290098830186
0.753125 -1.165925486959351
0.7781250000000001 -1.1660173515059844
0.8031250000000001 -1.1661046637073518
0.828125 -1.1661875123360121
0.853125 -1.1662659976234577
0.878125 -1.166340223402643
0.9031250000000001 -1.1664103233935874
0.9281250000000001 -1.1664764160468533
0.953125 -1.1665386531071291
0.978125 -1.166597172194585
1.003125 -1.1666521266719712
1.028125 -1.1667036742275736
1.053125 -1.1667519613740083
1.078125 -1.1667971573736695
1.1031250000000001 -1.1668394039347494
1.128125 -1.1668788663702843
1.153125 -1.1669156883637244
1.178125 -1.1669500176367007
1.203125 -1.1669820021475488
1.2281250000000001 -1.1670117683050345
1.253125 -1.1670394613465014
1.2781250000000002 -1.1670651931741118
1.303125 -1.1670890936356804
1.328125 -1.1671112701431352
1.3531250000000001 -1.1671318279268972
1.378125 -1.1671508739115868
1.4031250000000002 -1.1671684897326635
1.428125 -1.1671847762252858
1.453125 -1.1671998016167784
1.4781250000000001 -1.1672136502270982
1.503125 -1.1672263881231892
1.5281250000000002 -1.167238076944661
1.553125 -1.1672487843995154
1.578125 -1.1672585531444075
1.6031250000000001 -1.1672674467863535
1.628125 -1.167275500166485
1.6531250000000002 -1.1672827632555276
1.678125 -1.1672892734115297
1.703125 -1.167295062396075
1.7281250000000001 -1.1673001721979706
1.753125 -1.1673046211111702
1.7781250000000002 -1.1673084490672496
1.803125 -1.1673116715870127
1.828125 -1.1673143174750646
1.8531250000000001 -1.167316408014696
1.878125 -1.1673179574954138
1.9031250000000002 -1.1673189932045085
1.928125 -1.1673195202135707
1.953125 -1.1673195644481877
1.9781250000000001 -1.1673191315858336
2.0031250000000003 -1.1673182378820766
2.028125 -1.1673168962906928
2.053125 -1.1673151112472868
2.078125 -1.1673129016674466
2.103125 -1.1673102658669543
2.1281250000000003 -1.1673072211658795
2.153125 -1.1673037685977776
2.178125 -1.167299916690555
2.203125 -1.1672956741502787
2.228125 -1.167291039863468
2.2531250000000003 -1.1672860277448616
2.278125 -1.1672806330251975
2.303125 -1.1672748675229594
2.328125 -1.1672687306188616
2.353125 -1.1672622261844958
2.3781250000000003 -1.167255361178705
2.403125 -1.167248131934071
2.428125 -1.1672405497398437
2.453125 -1.1672326094947643
2.4781250000000004 -1.167224320080813
2.5031250000000003 -1.1672156816811334
2.528125 -1.1672066963342318
2.553125 -1.1671973715708845
2.578125 -1.1671877040726844
2.6031250000000004 -1.1671777049578076
2.6281250000000003 -1.167167371538636
2.653125 -1.167156712510198
2.678125 -1.167145731361192
2.703125 -1.1671344312488312
2.7281250000000004 -1.167122822658836

-0.734375 -1.0691112686515638
-0.7093750000000001 -1.0691785148295019
-0.6843750000000001 -1.069256577417765
-0.659375 -1.0693457727936395
-0.634375 -1.0694463857994485
-0.609375 -1.0695586664661967
-0.584375 -1.0696828269142247
-0.5593750000000001 -1.0698190384790145
-0.534375 -1.0699674291073622
-0.509375 -1.0701280810656497
-0.484375 -1.0703010289975514
-0.45937500000000003 -1.0704862583620365
-0.434375 -1.0706837042770079
-0.40937500000000004 -1.0708932507857405
-0.384375 -1.07111473055655
-0.359375 -1.0713479250180988
-0.33437500000000003 -1.0715925649251619
-0.309375 -1.0718483313430913
-0.290625 -1.0720472200671476
-0.265625 -1.0723215179173544
-0.240625 -1.0726058228791462
-0.215625 -1.0728996454902262
-0.19062500000000002 -1.0732024562606794
-0.16562500000000002 -1.0735136885433367
-0.140625 -1.073832741615421
-0.115625 -1.074158983933277
-0.09062500000000001 -1.0744917565239993
-0.065625 -1.0748303764780645
-0.040625 -1.0751741405110682
-0.015625 -1.075522328564078
