0.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
0.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
0.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
0.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
0.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
1.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
1.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
1.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
1.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
1.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
2.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
2.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
2.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
2.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
2.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
3.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
3.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
3.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
3.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
3.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
4.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
4.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
4.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
4.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
4.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
5.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
5.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
5.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
5.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
5.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
6.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
6.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
6.4	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
6.6	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
6.8	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
7.0	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
7.2	-0.0	1.0	1.0	1.0	1.0	-1.4781404250793477e-9	-1.3555509791043972e-16	1.1960687909982713e-9	-4.744091273199785e-11
