t f
9.4 -1.4533123976838913e-7
9.4125 -3.8515184928481495e-8
9.425 -6.103959736567962e-8
9.4375 -9.239519154077932e-8
9.45 -1.3311846085671865e-7
9.4625 -1.761329201563234e-7
9.475 -2.0103999143557925e-7
9.4875 -1.5813511687727978e-7
9.5 5.886709458612122e-8
9.5125 6.619437645677851e-7
9.525 2.0477214135427164e-6
9.5375 4.928295326255798e-6
9.55 1.0535173747167485e-5
9.5625 2.0929490243374666e-5
9.575 3.9459284139146744e-5
9.5875 7.141382020396759e-5
9.6 0.0001249282807874082
9.6125 0.0002121994522592448
9.625 0.0003510549233200701
9.6375 0.0005669104651612642
9.65 0.0008950999415994147
9.6625 0.0013835108778640168
9.675 0.002095375231891813
9.6875 0.003111956269249298
9.7 0.004534764418777894
9.7125 0.006486801334195102
9.725 0.009112240967531876
9.7375 0.012573887873919876
9.75 0.017047765916875245
9.7625 0.02271431022889042
9.775 0.029745868337551135
9.7875 0.03829059281960809
9.8 0.04845330984654201
9.8125 0.06027453457597388
9.825 0.07370940427014999
9.8375 0.08860883819478652
9.85 0.10470557644050855
9.8625 0.12160780484088551
9.875 0.13880276988499451
9.8875 0.15567206230244804
9.9 0.1715191751096948
9.9125 0.185608588959792
9.925 0.19721414483538435
9.9375 0.2056730823428731
9.95 0.2104409351630857
9.9625 0.2111417643577053
9.975 0.20760810987084055
9.9875 0.19990557694333502
10.0 0.1883383474845694
10.0125 0.17343384508126036
10.025 0.15590724199902126
10.0375 0.1366090334451719
10.05 0.11646109227474974
10.0625 0.09638810431648717
10.075 0.07725175630486458
10.0875 0.059794337013551635
10.1 0.044596864212786184
10.1125 0.03205458970120627
10.125 0.022370429312696054
10.1375 0.015564711210952126
10.15 0.011498113292258624
10.1625 0.009903711101214178
10.175 0.010423867820719863
10.1875 0.01264792828889802
10.2 0.0161473682400268
10.2125 0.020505891598649725
10.225 0.025342932792645385
10.2375 0.03032990208206622
10.25 0.03519931969540002
10.2625 0.0397475933554816
10.275 0.04383261489517164
10.2875 0.04736756440893172
10.3 0.050312334749971946
10.3125 0.052663873126589385
10.325 0.05444650231929507
10.3375 0.05570301469143059
10.35 0.05648703901119417
10.3625 0.056856925521325374
10.375 0.05687118222451685
10.3875 0.05658534119603144
10.4 0.056050047270431225
10.4125 0.05531011421530471
10.425 0.054404289071479456
10.4375 0.05336550133801017
10.45 0.052221394060904446
10.4625 0.050994998534209704
10.475 0.04970544131348766
10.4875 0.04836861752612164
10.5 0.04699779236203253
10.5125 0.045604113823455264
10.525 0.04419703426670704
10.5375 0.042784645916912
10.55 0.04137394604311223
10.5625 0.03997103878788407
10.575 0.03858128784739575
10.5875 0.0372094333692576
10.6 0.03585967808307404
10.6125 0.03453575283937406
10.625 0.0332409652460153
10.6375 0.03197823853797353
10.65 0.03075013815593902
10.6625 0.029558896700201634
10.675 0.0284064312471328
10.6875 0.02729435835323905
10.7 0.026224007345340333
10.7125 0.025196430588596472
10.725 0.02421241346631742
10.7375 0.023272483885948766
10.75 0.02237692063426149
10.7625 0.021525760373092964
10.775 0.020718808707394235
10.7875 0.019955645711881267
10.8 0.019235637286290904
10.8125 0.01855794231643872
10.825 0.017921524993728215
10.8375 0.01732516386146206
10.85 0.016767465289619705
10.8625 0.016246875096381477
10.875 0.015761695104054393
10.8875 0.015310094314055323
10.9 0.014890129362464533
10.9125 0.014499759133624834
10.925 0.0141368648822085
10.9375 0.013799268811054533
10.95 0.013484753259256299
10.9625 0.013191082107494811
10.975 0.012916019924837707
10.9875 0.012657353013622197
11.0 0.012412908481839624
11.0125 0.01218057334817968
11.025 0.011958312502204638
11.0375 0.011744185059231804
11.05 0.011536359401340013
11.0625 0.011333126543798144
11.075 0.01113291107331349
11.0875 0.010934279381824563
11.1 0.010735948023427255
